sum.taxonomy	Min_sebastes_BH.1.A.S7.L001	Min_sebastes_BH.1.B.S21.L001	Min_sebastes_BH.1.C.S35.L001	Min_sebastes_BH.2.A.S8.L001	Min_sebastes_BH.2.B.S22.L001	Min_sebastes_BH.2.C.S36.L001	Min_sebastes_BH.3.A.S9.L001	Min_sebastes_BH.3.B.S23.L001	Min_sebastes_BH.3.C.S37.L001	Min_sebastes_BL.1.A.S10.L001	Min_sebastes_BL.1.B.S24.L001	Min_sebastes_BL.1.C.S38.L001	Min_sebastes_BL.2.A.S11.L001	Min_sebastes_BL.2.B.S25.L001	Min_sebastes_BL.2.C.S39.L001	Min_sebastes_BL.3.A.S12.L001	Min_sebastes_BL.3.B.S26.L001	Min_sebastes_BL.3.C.S40.L001	Min_sebastes_LSB.B1.S43.L001	Min_sebastes_LSC.C2.S44.L001	Min_sebastes_LSC.C3.A.S45.L001	Min_sebastes_LSC.C3.B.S46.L001	Min_sebastes_PCR.blank.A.S14.L001	Min_sebastes_PRSC.A3.S47.L001	Min_sebastes_SH.1.A.S1.L001	Min_sebastes_SH.1.B.S15.L001	Min_sebastes_SH.1.C.S29.L001	Min_sebastes_SH.2.A.S2.L001	Min_sebastes_SH.2.B.S16.L001	Min_sebastes_SH.2.C.S30.L001	Min_sebastes_SH.3.A.S3.L001	Min_sebastes_SH.3.B.S17.L001	Min_sebastes_SH.3.C.S31.L001	Min_sebastes_SL.1.A.S4.L001	Min_sebastes_SL.1.B.S18.L001	Min_sebastes_SL.1.C.S32.L001	Min_sebastes_SL.2.A.S5.L001	Min_sebastes_SL.2.B.S19.L001	Min_sebastes_SL.2.C.S33.L001	Min_sebastes_SL.3.A.S6.L001	Min_sebastes_SL.3.B.S20.L001	Min_sebastes_SL.3.C.S34.L001
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes mystinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes nebulosus	0	0	0	5332	1	1852	9578	8021	1713	0	5019	0	873	2809	2764	0	2604	1956	1	0	0	0	0	0	22549	9727	10763	15698	17530	28714	13012	0	15776	2122	4687	5372	14943	1	24329	7638	1	1732
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes nigrocinctus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes notius	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	2	0	0	0	0	0	1	0	2	1	1	1	0	5	0	0	1	1	1	2	0	6	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes ovalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes owstoni	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes paucispinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes proriger	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes rastrelliger	40765	38901	45053	33039	69002	25154	22898	31568	41212	55189	56755	35953	30995	44142	33000	37314	42917	43401	2	5	2	2	1	47387	13756	15581	22206	12949	13507	27283	1	5	11184	10390	27834	23876	35128	6912	15473	4884	26622	15703
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes rosaceus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes ruberrimus	4	1	3	4	3620	1444	5331	9162	3	4841	6561	576	1852	4349	2842	951	6547	3258	0	2	0	0	0	0	2295	4416	7817	3168	6032	2003	22333	2	3	5729	0	9557	11038	2549	4338	1	5902	12050
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes rubrivinctus	0	0	5504	0	0	0	1966	1461	3686	5624	1	273	1813	1314	0	0	0	0	0	0	0	0	0	0	3707	0	0	11476	5004	1	0	0	1	0	0	0	0	0	1	16461	0	9152
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes saxicola	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes schlegelii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes scythropus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes semicinctus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42167	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes serranoides	8295	6134	9944	0	0	426	179	1	519	1100	2	410	0	309	498	0	0	288	0	0	0	0	0	0	0	0	1548	0	391	2	1	1	3	435	483	448	0	1	1	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes serriceps	1070	1	0	0	5076	0	1233	0	2237	0	1369	1027	1307	0	1557	2768	0	1707	22677	0	45562	0	0	0	4400	6255	6702	5633	0	2409	0	3	1	1085	4597	0	6095	4166	4755	1	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes spinorbis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes umbrosus	0	0	0	0	0	0	0	0	0	0	0	0	1754	396	211	715	320	0	0	0	0	0	0	0	2011	240	0	2504	505	833	0	43407	2676	652	939	1463	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes vulpes	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA	18	7	14	32	54	39	34	230	6	27	8	19	7	20	11	37	36	33	2316	160	1256	6644	713	922	13	16	11	10	382	11	13	14	155	50	51	7	93	8	8	8	24	23
